,joblinks
21,https://de.linkedin.com/jobs/view/business-data-analyst-bangkok-based-relocation-provided-at-agoda-3748495136?position=26&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=WMRM4CShvOoVCIkfPcvuwA%3D%3D&trk=public_jobs_jserp-result_search-card
22,https://de.linkedin.com/jobs/view/senior-analyst-d-f-m-marketing-science-at-immoscout24-3916687853?position=27&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=8lDGvGwebtf2shzSKqVixw%3D%3D&trk=public_jobs_jserp-result_search-card
23,https://de.linkedin.com/jobs/view/digital-business-analyst-all-genders-berlin-germany-at-simplesurance-3825015358?position=28&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=n90wyjCrBysang%2BtW52d%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card
24,https://de.linkedin.com/jobs/view/senior-analyst-d-f-m-marketing-science-at-scout24-group-3848212020?position=29&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=%2Fb0ig8jMRLoj1rhBanM6pg%3D%3D&trk=public_jobs_jserp-result_search-card
25,https://de.linkedin.com/jobs/view/senior-analyst-d-f-m-marketing-science-at-immoscout24-3851296098?position=30&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=%2BdbtzUFS3O418ZzsD8h%2Flw%3D%3D&trk=public_jobs_jserp-result_search-card
26,https://de.linkedin.com/jobs/view/senior-marketing-analyst-m-f-d-at-flaconi-3849624664?position=31&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=iBBYuvTG6J%2F3nBNJa7gdow%3D%3D&trk=public_jobs_jserp-result_search-card
27,https://de.linkedin.com/jobs/view/business-analystin-at-flex-capital-3906646208?position=32&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=vX8K%2FI6DcAz6FnPLSQ%2BzXQ%3D%3D&trk=public_jobs_jserp-result_search-card
28,https://de.linkedin.com/jobs/view/business-analystin-at-lawpilots-3870519362?position=33&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=lAVNuYTdS75emsY4fAvKiA%3D%3D&trk=public_jobs_jserp-result_search-card
29,https://de.linkedin.com/jobs/view/business-analyst-in-w-m-d-people-projects-at-enpal-3916078612?position=34&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=WEzf28IlcXbOs2A7LxnJHw%3D%3D&trk=public_jobs_jserp-result_search-card
30,https://de.linkedin.com/jobs/view/de-sea-performance-marketing-manager-kurzurlaub-berlin-m-f-d-at-hometogo-3844331575?position=35&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=wBsYsQvDasP60381ji0PGg%3D%3D&trk=public_jobs_jserp-result_search-card
31,https://de.linkedin.com/jobs/view/business-analyst-f-m-d-at-verve-group-3889887114?position=36&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=M0gMubCsNyg6xKwuB%2F49TA%3D%3D&trk=public_jobs_jserp-result_search-card
